"ID_KIND_OPERATION";"ID_KIND_DOC";"H_ASSEMBLY";"H_CLASS"
1;1;"UbsRBProcessOD";"UbsBusiness.UbsRBProcessPaymentOrder"
1;2;"UbsRBProcessRCV";"UbsBusiness.UbsRBProcessRequest"
1;3;"UbsRBTransfer";"UbsBusiness.UbsRBTransferOrder"
1;4;"UbsRBProcessRB";"UbsBusiness.UbsRBProcessRB"
1;5;"UbsRBProcessEPS";"UbsBusiness.UbsRBProcessEPS"
1;6;"UbsRBProcessFdep";"UbsBusiness.UbsRBProcessFdepContract"
1;7;"UbsRBProcessFdep";"UbsBusiness.UbsRBProcessFdepClose"
1;9;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardCreate"
1;10;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardState"
1;11;"UbsRBProcessSTO";"UbsBusiness.UbsRBProcessSTO"
1;12;"UbsRBProcessSTO";"UbsBusiness.UbsRBProcessStoChangeState"
1;13;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessReIssueCard"
1;14;"UbsRBProcessTM";"UbsBusiness.UbsRBProcessTM"
1;15;"UbsRBProcessOD";"UbsBusiness.UbsRBProcessPaymentOrder"
1;16;"UbsRBProcessOD";"UbsBusiness.UbsRBProcessPaymentOrder"
1;17;"UbsRBProcessOD";"UbsBusiness.UbsRBProcessPaymentOrder"
1;18;"UbsRBProcessPR";"UbsBusiness.UbsRBProcessPR"
1;19;"UbsRBProcessSMS";"UbsBusiness.UbsRBProcessSMS"
1;20;"UbsRBProcessCURR";"UbsBusiness.UbsRBProcessBuyCurrCreateClaim"
1;21;"UbsRBProcessCURR";"UbsBusiness.UbsRBProcessSellCurrCreateClaim"
1;22;"UbsRBProcessCURR";"UbsBusiness.UbsRBProcessTransitCurrCreateClaim"
1;23;"UbsRBProcessSDB";"UbsBusiness.UbsRBProcessSdbOpen"
1;24;"UbsRBProcessSDB";"UbsBusiness.UbsRBProcessSdbPayRent"
1;25;"UbsRBProcessSDB";"UbsBusiness.UbsRBProcessSdbProlongation"
1;26;"UbsRBProcessLOAN";"UbsBusiness.UbsRBProcessLoanAheadPayment"
1;27;"UbsRBProcessFO";"UbsBusiness.UbsRBProcessFOCreateClaim"
1;28;"UbsRBProcessSTO";"UbsBusiness.UbsRBProcessStoClose"
1;29;"UbsRBProcessChangeKey";"UbsBusiness.UbsRBProcessChangeKey"
1;30;"UbsRBTransferCard";"UbsBusiness.UbsRBTransferCard"
1;31;"UbsRBProcessRCMsg";"UbsBusiness.UbsRBProcessRCMsg"
1;32;"UbsRBProcessChangeContract";"UbsBusiness.UbsRBProcessChangeContract"
1;33;"UbsRBProcessChangeLogin";"UbsBusiness.UbsRBProcessChangeLogin"
1;34;"UbsRBProcessOD";"UbsBusiness.UbsRBProcessCloseAccount"
1;35;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardClose"
1;36;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardSMS"
1;37;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardChangeLimit"
1;38;"UbsRBProcessFdep";"UbsBusiness.UbsRBProcessFdepProxyCancel"
1;39;"UbsRbProcessPlCard";"UbsBusiness.UbsRbProcessPlCardCreate"
1;40;"UbsRbProcessSTO";"UbsBusiness.UbsRbProcessSTOChange"
